"的
de","of
de"
"停
tíng","stop
tíng"
"放弃
fàngqì","give up
fàngqì"
"鬼
guǐ","ghost
guǐ"
"別
bié","do not
bié"
"加油
jiāyóu","Refuel
jiāyóu"
"方法
fāngfǎ","method
fāngfǎ"
"游戏
yóuxì","game
yóuxì"
"即使
jíshǐ","even if
jíshǐ"
"fnarial
fnarial","fnarial
fnarial"
"take
take","take
take"
"were
were","were
were"
"本
běn","this
běn"
"our
our","our
our"
"年轻
niánqīng","young
niánqīng"
"大人
dàren","grown ups
dàren"
"使用
shǐyòng","use
shǐyòng"
"or
or","or
or"
"卖
mài","Sell
mài"
"老板
lǎobǎn","boss
lǎobǎn"
"水
shuǐ","water
shuǐ"
"想想
xiǎngxiang","Think
xiǎngxiang"
"坐在
zuò zài","Sat
zuò zài"
"目标
mùbiāo","aims
mùbiāo"
"need
need","need
need"
"变得
biànde","Become
biànde"
"可怕
kěpà","terrible
kěpà"
"拿到
ná dào","Get
ná dào"
"考虑
kǎolǜ","consider
kǎolǜ"
"个人
gèrén","personal
gèrén"
"开枪
kāiqiāng","shot
kāiqiāng"
"哭
kū","cry
kū"
"been
been","been
been"
"睡觉
shuìjiào","go to bed
shuìjiào"
"請
qǐng","please
qǐng"
"分钟
fēnzhōng","minute
fēnzhōng"
"想到
xiǎngdào","think
xiǎngdào"
"等待
děngdài","wait
děngdài"
"音乐
yīnyuè","music
yīnyuè"
"再说
zàishuō","Besides
zàishuō"
"聪明
cōngming","clever
cōngming"
"yes
yes","yes
yes"
"姑娘
gūniang","girl
gūniang"
"地球
dìqiú","Earth
dìqiú"
"感谢
gǎnxiè","thank
gǎnxiè"
"命令
mìnglìng","command
mìnglìng"
"阻止
zǔzhǐ","prevent
zǔzhǐ"
"一只
yī zhǐ","A
yī zhǐ"
"消失
xiāoshī","disappear
xiāoshī"
"喜歡
xǐhuan","like
xǐhuan"
"心
xīn","heart
xīn"
"第
dì","The first
dì"
"冷静
lěngjìng","calm
lěngjìng"
"似乎
sìhū","seem
sìhū"
"联系
liánxì","contact
liánxì"
"家庭
jiātíng","family
jiātíng"
"痛苦
tòngkǔ","pain
tòngkǔ"
"城市
chéngshì","city
chéngshì"
"力量
lìliang","power
lìliang"
"对于
duìyú","for
duìyú"
"未来
wèilái","future
wèilái"
"男孩
nánhái","boy
nánhái"
"三
sān","three
sān"
"博士
bóshì","Doctor
bóshì"
"姐姐
jiějie","sister
jiějie"
"疯狂
fēngkuáng","Madness
fēngkuáng"
"报告
bàogào","report
bàogào"
"放下
fàngxià","lay down
fàngxià"
"昨天
zuótiān","yesterday
zuótiān"
"那天
nàtiān","That day
nàtiān"
"還有
háiyǒu","and also
háiyǒu"
"完美
wánměi","perfect
wánměi"
"答应
dāying","promise
dāying"
"证据
zhèngjù","evidence
zhèngjù"
"本来
běnlái","originally
běnlái"
"负责
fùzé","Be responsible for
fùzé"
"检查
jiǎnchá","an examination
jiǎnchá"
"could
could","could
could"
"見
jiàn","see
jiàn"
"已經
yǐjīng","already
yǐjīng"
"一条
yī tiáo","A
yī tiáo"
"man
man","man
man"
"look
look","look
look"
"厉害
lìhai","Worse
lìhai"
"拥有
yōngyǒu","have
yōngyǒu"
"正常
zhèngcháng","normal
zhèngcháng"
"并且
bìngqiě","and
bìngqiě"
"否则
fǒuzé","otherwise
fǒuzé"
"該
gāi","That
gāi"
"then
then","then
then"
"以及
yǐjí","as well as
yǐjí"
"重新
chóngxīn","Again
chóngxīn"
"忘记
wàngjì","forget
wàngjì"
"had
had","had
had"
"这位
zhèwèi","this
zhèwèi"
"研究
yánjiū","the study
yánjiū"
"附近
fùjìn","nearby
fùjìn"
"不然
bùrán","otherwise
bùrán"
"太棒了
tài bàng le","awesome
tài bàng le"
"很棒
hěn bàng","Great
hěn bàng"
"方正
fāngzhèng","Founder
fāngzhèng"
"字幕
zìmù","subtitle
zìmù"
"脸
liǎn","face
liǎn"
"者
zhě","By
zhě"
"加入
jiārù","Join
jiārù"
"於
yū","in
yū"
"唱
chàng","sing
chàng"
"反正
fǎnzhèng","Anyway,
fǎnzhèng"
"不该
bùgāi","Should
bùgāi"
"政府
zhèngfǔ","government
zhèngfǔ"
"快乐
kuàilè","happy
kuàilè"
"身边
shēnbiān","Around
shēnbiān"
"down
down","down
down"
"遇到
yùdào","Experience
yùdào"
"some
some","some
some"
"這裡
zhè lǐ","Here
zhè lǐ"
"伟大
wěidà","great
wěidà"
"咖啡
kāfēi","coffee
kāfēi"
"tell
tell","tell
tell"
"say
say","say
say"
"接
jiē","Meet
jiē"
"仍然
réngrán","still
réngrán"
"门
mén","door
mén"
"开车
kāichē","Drive a car
kāichē"
"代表
dàibiǎo","representative
dàibiǎo"
"陪
péi","accompany
péi"
"若
ruò","If the
ruò"
"尸体
shītǐ","Corpse
shītǐ"
"比较
bǐjiào","Compare
bǐjiào"
"一年
yī nián","A year
yī nián"
"紧张
jǐnzhāng","tension
jǐnzhāng"
"监狱
jiānyù","prison
jiānyù"
"way
way","way
way"
"位置
wèizhi","position
wèizhi"
"随便
suíbiàn","casual
suíbiàn"
"偷
tōu","steal
tōu"
"安排
ānpái","arrangement
ānpái"
"錢
qián","money
qián"
"表演
biǎoyǎn","Performance
biǎoyǎn"
"从没
cóngméi","Never
cóngméi"
"除非
chúfēi","unless
chúfēi"
"屁股
pìgu","butt
pìgu"
"這些
zhèxiē","These ones
zhèxiē"
"by
by","by
by"
"酒
jiǔ","liqueur
jiǔ"
"恩
ēn","Yep
ēn"
"老兄
lǎoxiōng","Brother
lǎoxiōng"
"支持
zhīchí","stand by
zhīchí"
"必要
bìyào","necessary
bìyào"
"人生
rénshēng","life
rénshēng"
"正确
zhèngquè","correct
zhèngquè"
"跟着
gēnzhe","Follow
gēnzhe"
"杀死
shāsǐ","Kill
shāsǐ"
"more
more","more
more"
"交给
jiāogěi","To
jiāogěi"
"叔叔
shūshu","uncle
shūshu"
"還是
háishi","still is
háishi"
"食物
shíwù","food
shíwù"
"事实
shìshí","fact
shìshí"
"简直
jiǎnzhí","simply
jiǎnzhí"
"安静
ānjìng","be quiet
ānjìng"
"离
chī","from
chī"
"一场
yī chǎng","A
yī chǎng"
"妹妹
mèimei","younger sister
mèimei"
"something
something","something
something"
"斯
sī","Sri Lanka
sī"
"美丽
měilì","beautiful
měilì"
"再次
zàicì","once again
zàicì"
"案子
ànzi","case
ànzi"
"下面
xiàmiàn","the following
xiàmiàn"
"hey
hey","hey
hey"
"make
make","make
make"
"不够
bùgòu","not enough
bùgòu"
"哈
hǎ","what
hǎ"
"可怜
kělián","Pity
kělián"
"教
jiāo","teach
jiāo"
"殺
shā","kill
shā"
"首先
shǒuxiān","First of all
shǒuxiān"
"另外
lìngwài","Other
lìngwài"
"提供
tígōng","provide
tígōng"
"记住
jìzhu","remember
jìzhu"
"听见
tīngjiàn","hear
tīngjiàn"
"信
xìn","letter
xìn"
"国王
guówáng","king
guówáng"
"didn
didn","didn
didn"
"面前
miànqián","before
miànqián"
"几乎
jīhū","almost
jīhū"
"日子
rìzi","day
rìzi"
"那麼
nàme","Then
nàme"
"舒服
shūfu","Comfortably
shūfu"
"原来
yuánlái","original
yuánlái"
"再也
zàiyě","No longer
zàiyě"
"操
cào","Speak
cào"
"纽约
niǔyuē","new York
niǔyuē"
"早就
zǎojiù","Early
zǎojiù"
"逼
bī","force
bī"
"really
really","really
really"
"有关
yǒuguān","related
yǒuguān"
"放开
fàngkāi","open
fàngkāi"
"信息
xìnxī","information
xìnxī"
"r
r","r
r"
"星期
xīngqī","week
xīngqī"
"never
never","never
never"
"不得不
bùdébù","have to
bùdébù"
"发誓
fāshì","swear
fāshì"
"钥匙
yàoshi","key
yàoshi"
"错误
cuòwù","error
cuòwù"
"放松
fàngsōng","Relax
fàngsōng"
"约会
yuēhuì","appointment
yuēhuì"
"船
chuán","ferry
chuán"
"打扰
dǎrǎo","disturb
dǎrǎo"
"女
nǚ","Female
nǚ"
"手机
shǒujī","Cellular phone
shǒujī"
"二
èr","two
èr"
"很大
hěndà","Great
hěndà"
"到处
dàochù","everywhere
dàochù"
"攻击
gōngjī","attack
gōngjī"
"一份
yī fèn","A
yī fèn"
"第一
dìyī","the first
dìyī"
"建议
jiànyì","Suggest
jiànyì"
"日本
rìběn","Japan
rìběn"
"理由
lǐyóu","reason
lǐyóu"
"事实上
shìshíshàng","Actually
shìshíshàng"
"一樣
yīyàng","same
yīyàng"
"阿
ē","A
ē"
"跳舞
tiàowǔ","dancing
tiàowǔ"
"生气
shēngqì","pissed off
shēngqì"
"久
jiǔ","Long
jiǔ"
"试试
shì shì","Try
shì shì"
"信任
xìnrèn","trust
xìnrèn"
"此
cǐ","this
cǐ"
"看过
kàn guo","Seen
kàn guo"
"差不多
chàbuduō","almost
chàbuduō"
"原谅
yuánliàng","forgive
yuánliàng"
"has
has","has
has"
"神
shén","God
shén"
"经常
jīngcháng","often
jīngcháng"
"的确
díquè","indeed
díquè"
"ㄓ
ㄓ","ㄓ
ㄓ"
"之一
zhīyī","one
zhīyī"
"幸福
xìngfú","happy
xìngfú"
"哎
āi","Hey
āi"
"便
biàn","Then
biàn"
"马
mǎ","horse
mǎ"
"算
suàn","Count
suàn"
"吃饭
chīfàn","eat
chīfàn"
"璶
jìn","Jin
jìn"
"正是
zhèngshì","It
zhèngshì"
"不必
bùbì","Need not
bùbì"
"最大
zuìdà","maximum
zuìdà"
"people
people","people
people"
"幸运
xìngyùn","lucky
xìngyùn"
"丢
diū","throw
diū"
"我家
wǒ jiā","my home
wǒ jiā"
"問題
wèntí","problem
wèntí"
"长
cháng","long
cháng"
"東西
dōngxi","thing
dōngxi"
"而是
érshì","But
érshì"
"住手
zhùshǒu","stop
zhùshǒu"
"动物
dòngwù","animal
dòngwù"
"弟弟
dìdi","Little brother
dìdi"
"道歉
dàoqiàn","apologize
dàoqiàn"
"严重
yánzhòng","serious
yánzhòng"
"人家
rénjia","Other people
rénjia"
"坚持
jiānchí","adhere to
jiānchí"
"想象
xiǎngxiàng","Think
xiǎngxiàng"
"按
àn","press
àn"
"礼物
lǐwù","gift
lǐwù"
"每次
měicì","Each
měicì"
"将军
jiāngjūn","General
jiāngjūn"
"ok
ok","ok
ok"
"剩下
shèngxià","Left over
shèngxià"
"有事
yǒushì","Occupied
yǒushì"
"老爸
lǎobà","Dad
lǎobà"
"幫
bāng","help
bāng"
"系统
xìtǒng","system
xìtǒng"
"全都
quándōu","all
quándōu"
"组织
zǔzhī","organization
zǔzhī"
"我會
wǒ huì","I will
wǒ huì"
"敌人
dírén","enemy
dírén"
"看上去
kànshangqu","Looks
kànshangqu"
"應該
yīnggāi","should
yīnggāi"
"老天
lǎotiān","God
lǎotiān"
"ê
ê","ê
ê"
"认真
rènzhēn","serious
rènzhēn"
"分
fēn","Minute
fēn"
"书
shū","book
shū"
"往
wǎng","to
wǎng"
"关心
guānxīn","concern
guānxīn"
"坏
huài","Bad
huài"
"骗
piàn","cheat
piàn"
"中国
zhōngguó","China
zhōngguó"
"生意
shēngyi","business
shēngyi"
"上去
shàngqù","Up
shàngqù"
"值得
zhíde","worth it
zhíde"
"搞定
gǎodìng","Get
gǎodìng"
"寻找
xúnzhǎo","Search
xúnzhǎo"
"派对
pàiduì","Party
pàiduì"
"pro
pro","pro
pro"
"许多
xǔduō","a lot of
xǔduō"
"学生
xuésheng","student
xuésheng"
"查理
chá lǐ","Charlie
chá lǐ"
"下次
xiàcì","Next time
xiàcì"
"通知
tōngzhī","Notice
tōngzhī"
"救命
jiùmìng","Help
jiùmìng"
"表现
biǎoxiàn","which performed
biǎoxiàn"
"利用
lìyòng","use
lìyòng"
"受伤
shòushāng","Injured
shòushāng"
"后来
hòulái","later
hòulái"
"早上好
zǎoshanghǎo","Good morning
zǎoshanghǎo"
"精神
jīngshen","spirit
jīngshen"
"居然
jūrán","Unexpectedly
jūrán"
"受到
shòudào","Suffer
shòudào"
"am
am","am
am"
"大学
dàxué","the University
dàxué"
"那时
nàshí","At that time
nàshí"
"既然
jìrán","since
jìrán"
"几天
jǐtiān","Several days
jǐtiān"
"有时
yǒushí","sometimes
yǒushí"
"米
mǐ","Meter
mǐ"
"总
zǒng","total
zǒng"
"一张
yīzhāng","A
yīzhāng"
"too
too","too
too"
"第一个
dì yī gè","First
dì yī gè"
"真相
zhēnxiàng","the truth
zhēnxiàng"
"恨
hèn","hate
hèn"
"卡
kǎ","card
kǎ"
"不知
bùzhī","Unknown
bùzhī"
"远
yuàn","far
yuàn"
"警官
jǐngguān","police officer
jǐngguān"
"love
love","love
love"
"属于
shǔyú","belong
shǔyú"
"fncronos
fncronos","fncronos
fncronos"
"over
over","over
over"
"什
shí","Assorted
shí"
"い
い","い
い"
"可不是
kěbushì","Is not
kěbushì"
"怪
guài","strange
guài"
"一名
yī míng","A
yī míng"
"怀疑
huáiyí","doubt
huáiyí"
"笨蛋
bèndàn","Idiot
bèndàn"
"战斗
zhàndòu","fighting
zhàndòu"
"承认
chéngrèn","recognition
chéngrèn"
"馬
mǎ","horse
mǎ"
"法律
fǎlǜ","legal
fǎlǜ"
"别说
biè shuō","Do not say
biè shuō"
"简体
jiǎntǐ","Simplified
jiǎntǐ"
"记录
jìlù","recording
jìlù"
"见面
jiànmiàn","meet
jiànmiàn"
"能力
nénglì","ability
nénglì"
"足够
zúgòu","enough
zúgòu"
"帶
dài","band
dài"
"瞧
qiáo","Look at
qiáo"
"同样
tóngyàng","same
tóngyàng"
"白痴
báichī","moron
báichī"
"拒绝
jùjué","Refuse
jùjué"
"影响
yǐngxiǎng","influences
yǐngxiǎng"
"画
huà","painting
huà"
"其
qí","its
qí"
"德
dé","Morality
dé"
"交易
jiāoyì","transaction
jiāoyì"
"回來
huílai","come back
huílai"
"别动
biè dòng","do not move
biè dòng"
"管
guǎn","tube
guǎn"
"开门
kāimén","Open
kāimén"
"意味着
yìwèizhe","mean
yìwèizhe"
"或是
huòshì","Or
huòshì"
"美
měi","nice
měi"
"教授
jiàoshòu","professor
jiàoshòu"
"享受
xiǎngshòu","enjoy
xiǎngshòu"
"時間
shíjiān","time
shíjiān"
"喝酒
hējiǔ","drink
hējiǔ"
"好多
hǎoduō","many
hǎoduō"
"接下来
jiēxiàlái","Next
jiēxiàlái"
"開始
kāishǐ","Start
kāishǐ"
"腿
tuǐ","leg
tuǐ"
"only
only","only
only"
"走开
zǒukāi","Go away
zǒukāi"
"合作
hézuò","Cooperation
hézuò"
"女朋友
nǚpéngyou","girlfriend
nǚpéngyou"
"好吃
hàochī","good to eat
hàochī"
"事件
shìjiàn","event
shìjiàn"
"出发
chūfā","set off
chūfā"
"酒吧
jiǔbā","bar
jiǔbā"
"多么
duōme","how
duōme"
"不如
bùrú","Not as good as
bùrú"
"指
zhǐ","Finger
zhǐ"
"客人
kèrén","The guests
kèrén"
"换
huàn","change
huàn"
"梦想
mèngxiǎng","dream
mèngxiǎng"
"英雄
yīngxióng","hero
yīngxióng"
"傻
shǎ","stupid
shǎ"
"血
xuè","blood
xuè"
"扔
rēng","throw
rēng"
"藏
cáng","Tibetan
cáng"
"little
little","little
little"
"杀人
shārén","kill
shārén"
"一会儿
yīhuìr","Awhile
yīhuìr"
"沒事
méishì","All right
méishì"
"变
biàn","change
biàn"
"约
yuē","approximately
yuē"
"行为
xíngwéi","behavior
xíngwéi"
"头发
tóufa","hair
tóufa"
"适合
shìhé","Suitable for
shìhé"
"穦
pīn","Pin
pīn"
"恭喜
gōngxǐ","Congratulation
gōngxǐ"
"上次
shàngcì","Last time
shàngcì"
"地狱
dìyù","hell
dìyù"
"不在乎
bùzàihu","not give a damn about
bùzàihu"
"生
shēng","Raw
shēng"
"哪个
nǎge","Which
nǎge"
"实在
shízài","really
shízài"
"路上
lùshang","The road
lùshang"
"接近
jiējìn","Approaching
jiējìn"
"不准
bùzhǔn","Forbid
bùzhǔn"
"银行
yínháng","bank
yínháng"
"碰
pèng","bump
pèng"
"介绍
jièshào","Introduction
jièshào"
"一旦
yīdàn","once
yīdàn"
"味道
wèidao","taste
wèidao"
"实际上
shíjìshàng","Actually
shíjìshàng"
"感受
gǎnshòu","Feeling
gǎnshòu"
"身份
shēnfèn","Identity
shēnfèn"
"off
off","off
off"
"意外
yìwài","accident
yìwài"
"一般
yībān","general
yībān"
"吓
xià","scare
xià"
"停下
tíngxià","To stop
tíngxià"
"意义
yìyì","significance
yìyì"
"拜
bài","worship
bài"
"来看
láikàn","View
láikàn"
"婊子
biǎozi","Whore
biǎozi"
"梦
mèng","dream
mèng"
"学习
xuéxí","Learn
xuéxí"
"同时
tóngshí","Simultaneously
tóngshí"
"不起
bù qǐ","Can not afford
bù qǐ"
"呼吸
hūxī","Breathe
hūxī"
"是从
shì zòng","From
shì zòng"
"经历
jīnglì","experience
jīnglì"
"凶手
xiōngshǒu","murderer
xiōngshǒu"
"目前
mùqián","Currently
mùqián"
"威胁
wēixié","Threat
wēixié"
"没法
méifǎ","Can not
méifǎ"
"有时候
yǒushíhou","sometimes
yǒushíhou"
"should
should","should
should"
"英国
yīngguó","United Kingdom
yīngguó"
"男
nán","male
nán"
"什么样
shénmeyàng","What
shénmeyàng"
"老大
lǎodà","Boss
lǎodà"
"受
shòu","Suffer
shòu"
"愚蠢
yúchǔn","silly
yúchǔn"
"算了
suànle","Forget it
suànle"
"真实
zhēnshí","real
zhēnshí"
"sorry
sorry","sorry
sorry"
"婚礼
hūnlǐ","wedding
hūnlǐ"
"在家
zài jiā","At home
zài jiā"
"允许
yǔnxǔ","allow
yǔnxǔ"
"because
because","because
because"
"军队
jūnduì","army
jūnduì"
"said
said","said
said"
"电视
diànshì","TV
diànshì"
"please
please","please
please"
"一家
yījiā","One
yījiā"
"灵魂
línghún","soul
línghún"
"谢
xiè","thank
xiè"
"如
rú","Such as
rú"
"道
dào","Road
dào"
"究竟
jiūjìng","exactly
jiūjìng"
"戴
dài","wore
dài"
"无论
wúlùn","regardless
wúlùn"
"谋杀
móushā","murder
móushā"
"立刻
lìkè","At once
lìkè"
"特
tè","special
tè"
"躺
tǎng","lie down
tǎng"
"试图
shìtú","attempt
shìtú"
"客气
kèqi","polite
kèqi"
"文件
wénjiàn","file
wénjiàn"
"give
give","give
give"
"敢
gǎn","dare
gǎn"
"慢慢
mànmàn","Slowly
mànmàn"
"ﻴ
ﻴ","ي
ي"
"前面
qiánmiàn","front
qiánmiàn"
"奶奶
nǎinai","grandmother
nǎinai"
"黑
hēi","black
hēi"
"sir
sir","sir
sir"
"答案
dáàn","answer
dáàn"
"棒
bàng","Baton
bàng"
"新闻
xīnwén","news
xīnwén"
"多谢
duōxiè","Thank you
duōxiè"
"可不
kěbu","Do not
kěbu"
"ぐ
ぐ","Professions
Professions"
"very
very","very
very"
"長
cháng","long
cháng"
"any
any","any
any"
"欠
qiàn","owe
qiàn"
"一遍
yībiàn","Again
yībiàn"
"达
dá","Reach
dá"
"权利
quánlì","right
quánlì"
"做出
zuòchū","Make
zuòchū"
"历史
lìshǐ","history
lìshǐ"
"挂
guà","hang
guà"
"two
two","two
two"
"好了吗
hǎo le ma","Ok
hǎo le ma"
"意识
yìshí","awareness
yìshí"
"追
zhuī","chase
zhuī"
"下午
xiàwǔ","in the afternoon
xiàwǔ"
"尝试
chángshì","try
chángshì"
"乔治
qiáozhì","George
qiáozhì"
"经过
jīngguò","after
jīngguò"
"获得
huòdé","obtain
huòdé"
"仍
réng","still
réng"
"饿
è","hungry
è"
"ﺃ
ﺃ","أ
أ"
"部分
bùfen","section
bùfen"
"活
huó","live
huó"
"當然
dāngrán","of course
dāngrán"
"队
duì","team
duì"
"带走
dàizǒu","take away
dàizǒu"
"竟然
jìngrán","actually
jìngrán"
"ﺮ
ﺮ","ر
ر"
"失败
shībài","failure
shībài"
"一生
yīshēng","lifetime
yīshēng"
"黑暗
hēiàn","dark
hēiàn"
"中心
zhōngxīn","center
zhōngxīn"
"麦克
màikè","Mike
màikè"
"警告
jǐnggào","caveat
jǐnggào"
"大哥
dàgē","Big Brother
dàgē"
"显然
xiǎnrán","Clear
xiǎnrán"
"碞
yán","cliff
yán"
"根据
gēnjù","according to
gēnjù"
"动
dòng","move
dòng"
"不過
bùguò","but
bùguò"
"自杀
zìshā","suicide
zìshā"
"subhead
subhead","subhead
subhead"
"这事
zhè shì","This matter
zhè shì"
"训练
xùnliàn","training
xùnliàn"
"万
mò","Ten thousand
mò"
"thing
thing","thing
thing"
"令人
lìngrén","Cause
lìngrén"
"ﻣ
ﻣ","م
م"
"难
nán","difficult
nán"
"街
jiē","street
jiē"
"越
yuè","More
yuè"
"搬
bān","move
bān"
"好人
hǎo rén","Good person
hǎo rén"
"少
shào","less
shào"
"迟到
chídào","Be late
chídào"
"mean
mean","mean
mean"
"恐怕
kǒngpà","I am afraid
kǒngpà"
"一杯
yī bēi","Cup of
yī bēi"
"病
bìng","disease
bìng"
"没用
méiyòng","Useless
méiyòng"
"thank
thank","thank
thank"
"讨论
tǎolùn","discuss
tǎolùn"
"爆炸
bàozhà","explosion
bàozhà"
"因
yīn","because
yīn"
"美好
měihǎo","Fine
měihǎo"
"放心
fàngxīn","rest assured
fàngxīn"
"长大
zhǎngdà","grow up
zhǎngdà"
"微软
wēiruǎn","Microsoft
wēiruǎn"
"令
lìng","make
lìng"
"没人
méi rén","no one
méi rén"
"辛苦
xīnkǔ","hard
xīnkǔ"
"尽管
jǐnguǎn","in spite of
jǐnguǎn"
"美元
měiyuán","US dollar
měiyuán"
"their
their","their
their"
"吻
wěn","kiss
wěn"
"help
help","help
help"
"收拾
shōushi","pack
shōushi"
"包括
bāokuò","include
bāokuò"
"弗兰克
fúlánkè","Frank
fúlánkè"
"面对
miànduì","face
miànduì"
"跟我来
gēn wǒ lái","follow me
gēn wǒ lái"
"公寓
gōngyù","Apartment
gōngyù"
"雅黑
yǎ hēi","Elegant black
yǎ hēi"
"邀请
yāoqǐng","invite
yāoqǐng"
"求求
qiú qiú","please
qiú qiú"
"生日
shēngrì","birthday
shēngrì"
"留
liú","stay
liú"
"法官
fǎguān","judge
fǎguān"
"方向
fāngxiàng","direction
fāngxiàng"
"一块
yīkuài","piece
yīkuài"
"法国
fǎguó","France
fǎguó"
"一半
yībàn","half
yībàn"
"借
jiè","borrow
jiè"
"find
find","find
find"
"确认
quèrèn","confirm
quèrèn"
"玩笑
wánxiào","joke
wánxiào"
"doing
doing","doing
doing"
"躲
duǒ","hide
duǒ"
"金
jīn","gold
jīn"
"病人
bìngrén","patient
bìngrén"
"目的
mùdì","purpose
mùdì"
"公主
gōngzhǔ","princess
gōngzhǔ"
